# IMG_4720.MOV · 254.0s · lang en (0.99)
[   3.0s →    7.3s] This is technical enough that we want to make sure that we have everything.
[   7.3s →   10.2s] Okay. So when we're setting this up,
[  11.4s →   14.7s] we need to identify our toilet water tank.
[  15.2s →   20.2s] I've labeled them for now and turn that around.
[  21.1s →   25.3s] We've put caps on the ends of the connections of the, uh, the cam loss.
[  32.3s →   35.0s] All you do is you come down and you push these levers forward,
[  36.0s →   38.9s] that freeze the cap cap comes off.
[  39.5s →   41.6s] It's nice about these is we can hook these anywhere.
[  41.6s →   44.2s] We need to find a home to hook these and we're not using them.
[  47.1s →   49.1s] Then once that's full of water,
[  50.1s →   60.4s] we're going to take this connection, take it over and you bring it down, put it on.
[  61.9s →   72.5s] You kind of get a little bit like that, that one back, make sure it's nice and fit.
[  73.4s →   78.2s] Now it's connected. In order to make it work, you have to lift up the yellow, uh, safety tab
[  78.9s →   81.6s] and it takes a little bit of force, but you turn it
[  82.5s →   87.4s] in line when that lever's in line with your, your water line, that means the water line's open.
[  88.1s →   93.0s] Okay. That all feeds to this. These are two different ports that we use.
[  93.6s →   96.9s] They could go to two pumps, but in this case we have it set up on one pump.
[  98.3s →  103.2s] And this braided line goes to our pump and the braided pump,
[ 103.2s →  106.3s] it goes from here to our water sources. Okay.
[ 107.2s →  114.4s] We're going to connect one hose from here. It's going to go 50 feet or 100 feet or whatever we need.
[ 114.4s →  125.6s] One hose is going to go from there all the way over to our sink. Plug in there, twist the hose in there.
[ 125.6s →  131.7s] That's one connection. There's a valve on each one.
[ 133.4s →  136.5s] When we start, make sure that this valve
[ 137.4s →  140.8s] is again in line with your hose run to make it work.
[ 141.7s →  147.2s] We grab an extension cord and we're going to plug in our extension cord to this.
[ 148.3s →  151.2s] And then we're going to grab that extension cord and we're going to walk all the way around,
[ 151.2s →  162.1s] run it under the trailer, bring it over here, and we've placed external punch through ports
[ 163.5s →  169.1s] right at the panel. So we can actually pop this open, opens up, we stick the hose,
[ 169.1s →  180.9s] I mean the extension cord through the hole, step inside, grab that extension cord from this
[ 180.9s →  185.2s] cord in here. Let's swing around so you can see it. I'm going to grab the extension cord from
[ 185.2s →  190.6s] the port that we just ran it through, bring it up, plug it in. Okay. Make sure our generator is on
[ 190.6s →  198.6s] so we can use these ports. They could very easily use David's power directly, but this allows
[ 198.6s →  206.8s] us to control our whole camp. Okay. On generator power. Or if we have it tied to David's system,
[ 206.8s →  210.2s] it would run through our camp but still be tied to David's system. Yeah. Okay.
[ 211.2s →  223.6s] Back this way. So that would supply us water to our kitchen system and we would be ready to go.
[ 223.6s →  230.4s] Now if we decide to use that riser, we'll connect another hose to this and run that hose
[ 230.4s →  237.0s] directly to our riser, wherever that is. That's our water system for getting potable water
[ 238.0s →  245.2s] from our IBC to our sink and to our riser. Those are the two sources of water because we're using
[ 245.2s →  248.6s] that other system for the shower, which we'll set up here in a minute.
[ 251.1s →  252.2s] Machine made it rain.
